"","diet_analysis_id","world_country_description","wolf_population_description","wolf_subspecies_description","study_area","pack","latitude","longitude","source_id","analytical_method_description","identification_method_description","temporal_scale_description","derived_diet","sample_size","surface_area","sampling_period","time_series","spatial_effort","temporal_effort","total_effort","moose_alces.alces","blackbuck_antilope.cervicapra","american.bison_bison.bison","european.bison_bison.bonasus","yak_bos.grunniens","cattle_bos.taurus","nilgai_boselaphus.tragocamelus","buffalo_bubalus.bubalis","camel_camelus.ferus","dog_canis.familiaris","wolf_canis.lupus","wild.goat_capra.aegagrus","goat_capra.aegagrus.hircus","markhor_capra.falconeri","alpine.ibex_capra.ibex","siberian.ibex_capra.sibirica","roe.deer_capreolus.capreolus","carnivorae_carnivorae","elk_cervus.elaphus.canadensis","red.deer_cervus.elaphus.elaphus","sika.deer_cervus.nippon","fallow.deer_dama.dama","donkey_equus.africanus.asinus","horse_equus.ferus.caballus","przewalski.horse_equus.ferus.przewalskii","onager_equus.hemionus","cat_felis.catus","chinkara_gazella.bennettii","goitered.gazelle_gazella.subgutturosa","crested.porcupine_hystrix.cristata","badger_meles.meles","musk.deer_moschus.sp","raccoon.dog_nyctereutes.procyonoides","mule.deer_odocoileus.hemionus","black.tailed.deer_odocoileus.hemionus.columbianus","white.tailed.deer_odocoileus.virginianus","mountain.goat_oreamnos.americanus","muskox_ovibos.moschatus","argali_ovis.ammon","sheep_ovis.aries","bighorn_ovis.canadensis","dall.sheep_ovis.dalli","snow.sheep_ovis.nivicola","mouflon_ovis.orientalis","urial_ovis.orientalis.vignei","mongolian.gazelle_procapra.gutturosa","przewalski.gazelle_procapra.przewalskii","blue.sheep_pseudois.nayaur","wild.reindeer_rangifer.tarandus","chamois_rupicapra.rupicapra","saiga_saiga.tatarica","wild.boar_sus.scrofa","pig_sus.scrofa.domesticus","brown.bear_ursus.arctos","red.fox_vulpes.vulpes","wild.artiodactyla_wild.artiodactyla","wild.bovidae_wild.bovidae","bird","castor.sp","cervidae","domestic.ungulata","fish","garbage","lagomorpha","marmota.sp","mesomammals","micromammals","microrodents","other","other.domestic.ungulata","semiaquatic.rodentia","undefined.item","vegetable.fruit"
"299",299,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Asturias, area B",NA,43.0096,-6.6951,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,372,100,"Mar1994-Mar1995",1,3.72,372,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,42.4,2.8,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",300,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Asturias, area C",NA,43.097,-6.2224,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,329,100,"Mar1994-Mar1995",1,3.29,329,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,0,1.22,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",301,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Asturias, area D",NA,43.122,-5.267,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,106,100,"Mar1994-Mar1995",1,1.06,106,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,0,0,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",302,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Macizo Central Ourensano, Galicia",NA,42.1982,-7.3092,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,508,120,"May1998-Oct2002",4,4.23333333333333,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,2.9,NA,NA,NA,62.8,NA,NA,12.6,NA,1,NA,NA,NA,NA,0.2,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303",303,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Macizo Central Ourensano, Galicia",NA,42.1982,-7.3092,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,508,120,"May1998-Oct2002",4,4.23333333333333,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,3,NA,NA,NA,42.9,NA,NA,31.6,NA,1,NA,NA,NA,NA,0.1,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,8.3,NA,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304",304,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Province of Leon",NA,42.45,-5.29,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",TRUE,439,200,"Jun1984-May1986",2,2.195,219.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2.6,NA,NA,2.9,NA,NA,NA,8.5,0.1,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",305,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Province of Leon",NA,42.45,-5.29,1,"%FO (scat) - percentage of scats containing a particular food item (total sum ≠ 100)",NA,"year",NA,439,200,"Jun1984-May1986",2,2.195,219.5,NA,NA,NA,NA,NA,NA,4.78,NA,NA,NA,6.38,NA,NA,7.06,NA,NA,NA,20.73,0.23,NA,NA,NA,NA,NA,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.58,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306",306,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"spring",NA,92,179,"Mar1996-Mar1997",1,0.513966480446927,92,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.25,NA,NA,NA,27.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.25,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307",307,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"spring",NA,92,179,"Mar1996-Mar1997",1,0.513966480446927,92,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,16.94,NA,NA,NA,24.63,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.48,NA,20.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",308,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"summer",NA,45,179,"Mar1996-Mar1997",1,0.251396648044693,45,NA,NA,NA,NA,NA,NA,4.76,NA,NA,NA,NA,NA,NA,16.67,NA,NA,NA,21.43,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.43,NA,14.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309",309,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"summer",NA,45,179,"Mar1996-Mar1997",1,0.251396648044693,45,NA,NA,NA,NA,NA,NA,10.69,NA,NA,NA,NA,NA,NA,15.83,NA,NA,NA,17.66,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.79,NA,18.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310",310,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"autumn",NA,58,179,"Mar1996-Mar1997",1,0.324022346368715,58,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17.78,NA,NA,NA,15.56,NA,NA,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.11,NA,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311",311,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"autumn",NA,58,179,"Mar1996-Mar1997",1,0.324022346368715,58,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,17.97,NA,NA,NA,13.64,NA,NA,10.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.92,NA,13.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312",312,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"winter",NA,112,179,"Mar1996-Mar1997",1,0.625698324022346,112,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,11.36,NA,NA,NA,11.36,NA,NA,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.27,NA,28.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313",313,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"winter",NA,112,179,"Mar1996-Mar1997",1,0.625698324022346,112,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,10.82,NA,NA,NA,9.39,NA,NA,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.39,NA,36.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314",314,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,307,179,"Mar1996-Mar1997",1,1.71508379888268,307,NA,NA,NA,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,14.9,NA,NA,NA,18.82,NA,NA,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67,NA,18.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315",315,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Antiguo Parque Nacional de la Montaña de Covadonga",NA,43.2682,-5.0363,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,307,179,"Mar1996-Mar1997",1,1.71508379888268,307,NA,NA,NA,NA,NA,NA,1.88,NA,NA,NA,NA,NA,NA,15.14,NA,NA,NA,16.52,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.24,NA,25.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316",316,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Alava",NA,42.8935,-3.1004,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",TRUE,31,1300,"2003-2004",2,0.0238461538461538,15.5,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,56.7,NA,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317",317,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"spring",NA,139,646,"Mar2011-Mar2012",1,0.215170278637771,139,NA,NA,NA,NA,NA,NA,2.59,NA,NA,NA,NA,NA,NA,9.48,NA,NA,NA,17.24,NA,NA,18.1,NA,NA,NA,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31,NA,24.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318",318,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"spring",NA,139,646,"Mar2011-Mar2012",1,0.215170278637771,139,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,7.75,NA,NA,NA,12.23,NA,NA,22.29,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,NA,26.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319",319,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"summer",NA,101,646,"Mar2011-Mar2012",1,0.156346749226006,101,NA,NA,NA,NA,NA,NA,12.09,NA,NA,NA,NA,NA,NA,9.89,NA,NA,NA,16.48,NA,NA,13.19,NA,NA,NA,6.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,25.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",320,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"summer",NA,101,646,"Mar2011-Mar2012",1,0.156346749226006,101,NA,NA,NA,NA,NA,NA,21.03,NA,NA,NA,NA,NA,NA,7.28,NA,NA,NA,10.53,NA,NA,14.62,NA,NA,NA,8.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,24.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321",321,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"autumn",NA,150,646,"Mar2011-Mar2012",1,0.232198142414861,150,NA,NA,NA,NA,NA,NA,7.8,NA,NA,NA,NA,NA,NA,14.89,NA,NA,NA,10.64,NA,NA,12.06,NA,NA,NA,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,NA,32.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322",322,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"autumn",NA,150,646,"Mar2011-Mar2012",1,0.232198142414861,150,NA,NA,NA,NA,NA,NA,14.26,NA,NA,NA,NA,NA,NA,11.51,NA,NA,NA,7.14,NA,NA,14.04,NA,NA,NA,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.26,NA,33.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323",323,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"winter",NA,100,646,"Mar2011-Mar2012",1,0.154798761609907,100,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA,NA,11.11,NA,NA,NA,8.89,NA,NA,6.67,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44,NA,58.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324",324,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"winter",NA,100,646,"Mar2011-Mar2012",1,0.154798761609907,100,NA,NA,NA,NA,NA,NA,10.07,NA,NA,NA,NA,NA,NA,8.51,NA,NA,NA,5.91,NA,NA,7.69,NA,NA,NA,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81,NA,60.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",325,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"year",NA,490,646,"Mar2011-Mar2012",1,0.758513931888545,490,NA,NA,NA,NA,NA,NA,6.85,NA,NA,NA,NA,NA,NA,11.64,NA,NA,NA,13.24,NA,NA,12.79,NA,NA,NA,3.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,34.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326",326,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","Parque National de Los Picos de Europa",NA,43.1805,-4.8412,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"year",NA,490,646,"Mar2011-Mar2012",1,0.758513931888545,490,NA,NA,NA,NA,NA,NA,12.55,NA,NA,NA,NA,NA,NA,9.02,NA,NA,NA,8.9,NA,NA,14.92,NA,NA,NA,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04,NA,35.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327",327,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"spring",NA,172,NA,"Mar1994-Mar1995",1,NA,172,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,0,NA,NA,2.2,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328",328,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"spring",NA,172,NA,"Mar1994-Mar1995",1,NA,172,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0,NA,NA,1.6,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,88.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329",329,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"summer",NA,163,NA,"Mar1994-Mar1995",1,NA,163,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,0,NA,NA,15,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,63.9,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330",330,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"summer",NA,163,NA,"Mar1994-Mar1995",1,NA,163,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,0,NA,NA,10.2,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,73.9,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331",331,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"autumn",NA,160,NA,"Mar1994-Mar1995",1,NA,160,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,4.1,NA,NA,14.3,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,58.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332",332,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%Vm - percentage volume of remains in each food category (total sum is =100)",NA,"autumn",NA,160,NA,"Mar1994-Mar1995",1,NA,160,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,1.8,NA,NA,7.6,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,76.2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333",333,"Spain","NW Iberia (ESP; PRT)","Canis lupus signatus","western Asturias- Area A",NA,43.3448,-6.674,1,"%FO (item) - frequency of occurrence per food item (total sum is =100)",NA,"winter",NA,154,NA,"Mar1994-Mar1995",1,NA,154,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,3,NA,NA,9.8,NA,NA,NA,9.1,NA,NA,NA,NA,NA,NA,62.1,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
